,X7,X5,X4,X3,X2,X1,X0,X15,X16,price
0,-0.13657074694521257,6.081599126588137,18.052713715776385,30.6867352208107,0.12983720393228554,-34.726187230747385,16.36720647797491,1,D,295852
1,-5.500779918840214,0.005811296011832557,36.36009023935036,14.820562398902506,14.243340998564442,6.807751688612081,14.131366641529079,0,B,206554
2,0.2068282420160473,7.9468472853993495,36.65781776306606,31.489898804132118,24.410181779105326,-8.988780485953926,-2.331417215849297,1,D,194041
3,-6.1211656653501905,1.0565135012961673,27.181867575413136,12.849616151510785,4.358602606452373,-2.1216278683317866,-36.749189927793374,1,A,236308
4,-1.4568989218880795,5.926073800521528,33.96304975375476,39.67539502346387,-14.252855227529746,-12.328966445023731,35.962449030679316,0,A,30081
5,-5.1300163999299375,-10.302726563223382,33.71884197537715,26.071063048836965,5.123003236689097,-7.6088530854520835,47.861281498701146,0,E,149613
6,3.261684607456609,10.327863387853517,26.328980487605275,9.751136860824047,9.35754137067873,-13.88229700079852,14.432894975029749,0,A,144166
7,-3.2695119749584975,-9.575714226076805,32.29498161582058,34.46661956093696,4.667397203560787,16.131542352308283,3.1755374560585206,0,C,478776
8,-2.630342399137682,5.458325343998969,23.027356837069018,35.19934805444992,19.870373230628015,-22.361979768842765,-28.46971358406901,1,C,71528
9,0.4746581990050514,12.08523490355789,15.763261300766136,50.02050680854797,1.0534857360887138,31.43663721543523,8.568492302117082,1,C,394063
10,-5.308746856083241,1.446582059282425,11.107114860722946,23.730808954616098,9.079922189926313,18.64020602327034,58.364416728825425,0,E,263818
11,-2.2383595976811606,-6.49763553976586,31.933292554517955,34.22542022044132,36.22429694671132,15.509014352279934,3.635408281173372,0,B,341036
12,-6.40912304372754,0.5277646236279191,3.749991013341421,52.216510995612474,-1.2281948399889906,14.651241711374864,29.029918645320294,0,C,402713
13,1.9111728599390287,9.68471484906963,40.594357455507975,43.44713647309248,-10.927652880098512,47.86468948521785,24.403474764464885,0,A,141323
14,1.1618005492901928,-6.7265426283606,24.440775489700567,21.629796494519198,30.4205422973541,-23.956213109273747,29.880929148477016,1,D,278361
15,3.7232489661017913,1.271437981987665,5.4492777142921245,37.39964541738844,60.70957314382944,22.032208124958668,9.9738564682671,0,B,281683
16,-8.182113746296666,8.883330850950118,6.310282365207116,33.83509735441056,14.814248167575816,-4.745472692946843,-5.0891374924256185,0,B,114907
17,0.40245362628889786,-0.8124606553178104,4.1479941412518695,30.72701435701755,24.070823200675036,6.880299753602685,-20.20282047802356,1,C,104799
18,-1.4595046374100702,7.266239916809255,17.76030923468947,5.344015988277821,-2.4152968629491536,-17.547234885339662,9.661450251608867,0,A,29622
19,-0.47175196401732017,-2.7806593627052276,22.606420384310187,37.04193264650845,16.32571865851379,-5.358503152743935,3.32932110338412,0,D,142793
20,-2.2883073187295175,-1.373292688268759,20.436774882700714,40.31590971351733,7.081408916152095,2.961252305805961,-31.641712117906962,1,A,254451
21,-3.0427922006952675,-8.122129577818678,30.001761285865783,24.647863707249176,10.802396282961512,-21.19747995499457,5.590424351736949,0,B,163600
22,-5.709568557039725,12.609976013707508,23.69857866176771,19.06647109637457,54.68920345680692,20.163743314521376,49.802446428702126,0,C,281395
23,-1.467495800726885,11.80432491345963,39.171814256945225,30.49666103997022,56.419208543413816,-5.383657312541638,-9.410547912139295,0,B,338739
24,0.015942666055288452,-1.1809860198726285,11.502709279915514,53.379407870992395,10.520539805296025,-15.11375247331715,-8.242724101842,1,D,183086
25,0.18009011902990235,-3.5514165430639335,22.187601707132075,17.489979762030604,-0.30310712959524844,-4.519439284429468,13.317362304281282,0,A,459079
26,-6.103488238455726,-3.907758740290964,11.817474098873031,15.34927893815358,14.90931066616871,27.282171386324478,3.4525322927494826,0,D,62471
27,-0.2250882974647234,-3.778985783369615,22.540306621311856,12.804938693460382,7.434194430315078,40.74733098081228,14.458479726003539,1,E,34420
28,-0.5346081152099355,-1.0280627125923465,26.137428515616882,13.710162722851177,22.72989893472283,-27.671138453818322,16.290109433821204,1,D,421390
29,-1.3821281421695453,-2.2032253117022367,2.621509588103363,21.6923815121802,16.06256268106338,-30.952454744841404,5.728429111978733,0,B,120866
30,-0.15843160205481543,-25.0193946749572,18.59557431790626,27.79461276578243,34.29391596876013,-6.520606498814888,24.97761440053051,1,D,118534
31,-0.40119788972620346,-5.45642541057183,17.214514814348874,16.31895330283818,6.788958166559726,0.6391569349278273,-17.97510729136022,1,D,130180
